codigo;razao;fantasia;cidade;vendedor;estatus;semana;rota
1983;CHURRASCARIA CANELAO LTDA;CHURRASCARIA CANELAO;JACUTINGA;48;ATIVO;QUA;556
1985;MAGLIONI RIBEIRO & CIA LTDA;SUPERMERCADO ALVORADA;OURO FINO;47;ATIVO;SEG;705
1987;DAINEZI E FERNANDES LTDA;DAINEZI E FERNANDES;OURO FINO;45;ATIVO;QUI;704
1988;ANIEL RODRIGUES DE CASTRO;ANIEL RODRIGUES DE CASTRO;BUENO BRANDAO;46;ATIVO;SEG;250
1991;VANDERLEIA DE MORAES  ME;BAR DA DECA;BUENO BRANDAO;46;ATIVO;SEG;250
1994;LUZIA DE ANDRADE  ME;COMILAO LANCHES;OURO FINO;45;ATIVO;QUA;703
2038;SUPERMERCADOS BALEIA LTDA;SUPERMERCADOS BALEIA;OURO FINO;47;ATIVO;SEX;705
2039;OURO CARNES LTDA;ACOUGUE OUROCARNES;OURO FINO;45;ATIVO;QUI;704
2041;CASSIO LUIS MOREIRA;MERCEARIA DO CASSIO;OURO FINO;45;ATIVO;TER;702
2054;ANTONIO HONORIO ALVES ME;BAR TONINHO RICARDO;TOCOS DO MOJI;35;ATIVO;QUA;801
2078;QUEIJOS E DOCES MONTE VERDE;CASA DE QUEIJO MONTE VERDE;CAMANDUCAIA;35;ATIVO;SEG;304
2090;DISTRIBUIDORA SUL MINEIRA DE BEBIDAS LTDA;DISTR SUL MINEIRA MOLICA;CAMANDUCAIA;14;ATIVO;QUA;303
2098;LUIZ SERGIO DA SILVA;MERCEARIA SANTA HELA;EXTREMA;42;ATIVO;SEG;407
2263;MARIA DE LOURDES LAIRA ME;BAR E RESTAVENIDA;OURO FINO;45;ATIVO;TER;702
2327;CAROLINA MARQUES PEDRO;CAROLINA FUNCIONARIA;CAMBUI;10;ATIVO;SEG;2
2395;ROMEU TELES DA SILVA;MINI MERCADO TELES;BUENO BRANDAO;46;ATIVO;SEG;251
2396;COMERCIAL IRMAOS SCHIAVON LTDA;COMERCIAL IRMAOS SCHIAVON;BUENO BRANDAO;46;ATIVO;SEG;251
2397;SUPERMERCADO O VANTAJOSO LTDA;SUPERMERCADO O VANTAJOSO;BUENO BRANDAO;46;ATIVO;SEG;250
2398;PADARIA DO KIKO LTDA;PADARIA E CONFEITARIA DO KIKO;BUENO BRANDAO;46;ATIVO;SEG;251
2399;SIDNEI CONSTANTINI;SIDNEI CONSTANTINI;BUENO BRANDAO;46;ATIVO;SEG;250
2408;MINI-MERCADO PRECO MENOR LTDA;MINI MERCADO PRECO MENOR;BUENO BRANDAO;46;ATIVO;SEG;250
2412;APARECIDA MARIANO DOS SANTOS LTDA;MINI MERC PEG PAG BEIRA RIO;BUENO BRANDAO;46;ATIVO;SEG;251
2414;ADEGA E MERCEARIA OLIVEIRA LTDA;ADEGA E MERCEARIA OLIVEIRA;BUENO BRANDAO;46;ATIVO;SEG;251
2416;SUPERMERCADO TENORIO LTDA;SUPERMERCADO TENORIO LTDA;BUENO BRANDAO;46;ATIVO;SEG;250
2420;CESUL COM ESTRELA DO SUL LTDA;COML ESTR SUL;BORDA DA MATA;46;ATIVO;QUI;202
2424;ANTONIO ALBANO MARTINS;ANTONIO ALBANO MARTINS;BORDA DA MATA;46;ATIVO;QUI;202
2429;PANIF E CONF FLOR DA MATA  ME;PANIF E CONF FLOR DA;BORDA DA MATA;46;ATIVO;QUI;202
2435;SUPERMERCADOS NSA SRA APARECIDA LTDA;SUPERMERCADOS NOSSA SENHORA;BORDA DA MATA;47;ATIVO;QUA;203
2442;SHIMODA ATACAREJO LTDA;SHIMODA ATACAREJO;MONTE SIAO;47;ATIVO;TER;601
2445;PADARIA UNIAO DE MONTE SIAO LTDA;PADARIA UNIAO;MONTE SIAO;48;ATIVO;TER;601
2446;EMPORIO E CASA DE CARNE OLIVEIRA LTDA;E E CASA DE CARNE OLIVEIRA;MONTE SIAO;48;ATIVO;TER;600
2460;LAERCIO BARROSO & CIA LTDA;PADARIA MAGIOLI;MONTE SIAO;48;ATIVO;QUI;602
2463;71.232.565 CARLOS OTAVIO ALVES PEREIRA;CARLOS OTAVIO ALVES PEREIRA;MONTE SIAO;48;ATIVO;TER;601
2464;ROBERTO FRANCO DE SOUZA;PIZZARIA DO ROBERTO;MONTE SIAO;48;ATIVO;TER;600
2479;ESPEDITO FRANCISCO GOMES;ESPEDITO FRANCISCO G;MONTE SIAO;48;ATIVO;TER;600
2490;TOFOLI  NICOLETI LTDA ME;ARMAZEM SAO JUDAS TA;JACUTINGA;48;ATIVO;SEG;552
2495;RESTAURANTE TIJOLEIRO LTDA;RESTAURANTE TIJOLEIRO LTDA;JACUTINGA;46;ATIVO;QUA;557
2502;BENEDITO CIRINEU DE OLIVEIRA;BENEDITO CIRINEU DE OLIVEIRA;JACUTINGA;48;ATIVO;SEG;551
2503;PIZZARIA REST BOM GUSTAGGIO  ME;PIZZARIA REST BOM GUSTAGGIO  M;JACUTINGA;48;ATIVO;SEG;552
2506;JOSE LUCATELLI  CIA LTDA;SUP MODDERNO;JACUTINGA;48;ATIVO;SEG;551
2509;PANIF E CONF JACUTINGA LTDA;PANIFICADORA JACUTIN;JACUTINGA;48;ATIVO;SEG;551
2510;JOSE LUPINACCI;SUP NSA SRA APARECID;JACUTINGA;48;ATIVO;SEG;551
2517;JOEL DE ARAUJO CONTI;JOEL DE ARAUJO;OURO FINO;45;ATIVO;QUA;703
2520;ANTONIO CARLOS DE ALMEIDA - CPF 306.517.946-68;PADARIA SAO FRANCISCO;OURO FINO;45;ATIVO;TER;702
2524;NEIVA ROBERTO DE LIMA FLEMING;SUPERMERCADO GL;OURO FINO;47;ATIVO;SEG;705
2528;SS DISTRIB DE BEBIDAS LTDA;SS DISTRIBUIDORA;OURO FINO;47;ATIVO;SEG;705
2538;AMILTON VAZ DE LIMA;AMILTON VAZ DE LIMA;OURO FINO;45;ATIVO;SEG;701
2546;ALEXANDRE ARRUDA DE BARROS;ALEXANDRE ARRUDA DE BARROS;OURO FINO;45;ATIVO;QUA;703
2550;SIDNEI JOSE DE LIMA;MINI MERCADO MUSSARE;OURO FINO;45;ATIVO;QUA;703
2551;MINI MERCADO SANTA BARBARA LTDA;MINI MERCADO SANTA BARBARA;OURO FINO;46;ATIVO;TER;452
2553;JOSE DONIZETE FERREIRA DE LIMA ME;JOSE DONIZETE FERREIRA DE LIMA;OURO FINO;45;ATIVO;QUI;704
2565;MILTON DONIZETE LOPES ME;MILTON DONIZETE LOPE;MONTE SIAO;48;ATIVO;QUI;604
2579;MERCADINHO EVANDRO LTDA;MERCADINHO EVANDRO;CAMANDUCAIA;14;ATIVO;SEG;310
2591;ZELIA BONIFACIO MOREIRA ME;MERCEARIA D ALINE;OURO FINO;45;ATIVO;TER;702
2609;MINI MERCADO IRMAOS MACHADO LTDA;MINI MERCADO IRMAOS MACHADO;BORDA DA MATA;47;ATIVO;QUA;203
2636;SUPERMERCADO NOVA BORDA LTDA;SUPERMERCADO NOVA BORDA;BORDA DA MATA;47;ATIVO;QUA;203
2637;MARIA AUXILIADORA BARBOSA SILVA;MERCEARIA NOVA BORDA;BORDA DA MATA;46;ATIVO;QUI;202
2639;PEDRO BENEDITO AZEVEDO;ARMAZEM SAO PEDRO;OURO FINO;45;ATIVO;QUA;703
2647;ELZA FATIMA DOS SANTOS BARBOSA;SUPERMERCADO RUI BARBOSA;BORDA DA MATA;47;ATIVO;QUA;203
2648;BENEDITO DE ROMA MOREIRA;BAR E MERCEARIA NS DO CARMO;BORDA DA MATA;47;ATIVO;QUA;201
2680;SUPERMERCADO N. SRA. APARECIDA LTDA;SUPERMERCADO N SRA APARECIDA;MONTE SIAO;47;ATIVO;TER;600
2705;RONALDO FERNANDES MARCILIO;BAR DO RONALDO;INCONFIDENTES;46;ATIVO;TER;451
2708;WILSA RODRIGUES DE ANDRADE;BAR DO RUBINHO;TOCOS DO MOJI;35;ATIVO;QUA;801
2716;SUPERMERCADO RIO MINAS LTDA EPP;SUPERMERCADO RIO MIN;TOCOS DO MOJI;35;ATIVO;QUA;801
2771;VITOR MILHORINI;BAR DO MILHORINI;OURO FINO;45;ATIVO;QUI;704
2788;PEREIRA LEME SUPERMERCADO LTDA;MINI MERCADO 3 IRMAOS;MUNHOZ;13;ATIVO;QUI;502
2807;MARLY MARINELO FERNANDES;BAR DO ALFREDO;OURO FINO;45;ATIVO;TER;702
2832;CEZAR AUGUSTO DE ALMEIDA;PADARIA NSA SRA DE F;TOCOS DO MOJI;35;ATIVO;QUA;801
2857;JOSE MARCIO DE SOUZA;BAR E MERCEARIA DA PRETA;EXTREMA;40;ATIVO;SEX;309
2859;AGUINALDO GUIMARAES;BAR DO AGUINALDO;BUENO BRANDAO;46;ATIVO;SEG;251
2878;GR SA;2812 PANDURATA EXTREMA;BELO HORIZONTE;14;ATIVO;QUI;410
2893;AIRTON DOS SANTOS;ESQUINA BOM SORVETE;JACUTINGA;48;ATIVO;SEG;551
2911;ASSOCIACAO ATLETICA MONTESSIONENSE;ASSOC ATLETICA MONTESSIONENSE;MONTE SIAO;48;ATIVO;TER;601
2921;PIZZARIA NAPOLES LTDA;PIZZARIA NAPOLES;CAMBUI;33;ATIVO;QUA;104
2948;JAIR ELIAS ALVES & CIA LTDA;LANCHONETE UNIAO;BORDA DA MATA;46;ATIVO;QUI;204
2975;ANTONIO DESTEFANO SOBRINHO;ANTONIO DESTEFANO SOBRINHO;JACUTINGA;48;ATIVO;QUA;553
2987;JOSEFA BARBOSA DA SILVA;MERCADINHO 03 ESTRELAS;EXTREMA;40;ATIVO;SEG;409
2990;PESQUE E PAGUE PADAVINI LTDA ME;PESQUEIRO PADOVANI;MONTE SIAO;48;ATIVO;QUI;604
2995;ADEMIR DE SOUZA JUNIOR;BAR DO TREVO;OURO FINO;45;ATIVO;TER;702
3020;TATITA VEICULOS LTDA;TATITA;CAMBUI;10;ATIVO;SEG;1
3055;RESTAURANTE DONA MUCAMA LTDA;RESTAURANTE DONA MUCAMA;CAMANDUCAIA;35;ATIVO;SEG;304
3078;JOSE CARLOS DA SILVA ME;MINI MERCADO DO LEU;BUENO BRANDAO;46;ATIVO;SEG;250
3097;DEPOSITO DE BEBIDAS J.COMUNE LTDA;DEPOSITO DE BEBIDAS J.COMUNE;MONTE SIAO;47;ATIVO;TER;601
3144;JOSE CARLOS VIEIRA;JOSE CARLOS VIEIRA;JACUTINGA;46;ATIVO;QUA;554
3148;LUIS RICARDO MONFINATI;LUIS RICARDO MONFINA;MONTE SIAO;48;ATIVO;TER;601
3222;JOSE ROBERTO BONAMICHI;SUPERMERCADO BONAMIGO;INCONFIDENTES;47;ATIVO;SEG;705
3225;CASA GARCIA & LEMES LTDA;CASA GARCIA;INCONFIDENTES;46;ATIVO;TER;451
3235;MARCIO APARECIDO BUENO ME;KIBOM BOM;INCONFIDENTES;46;ATIVO;TER;451
3239;COSTA E LABEGALINI LTDA;SUPERMERCADO ARCO IRIS;JACUTINGA;47;ATIVO;SEX;555
3242;JAIR LABEGALINE;SUPER BOM JESUS;JACUTINGA;46;ATIVO;QUA;554
3244;SUPERMERCADO STECCA LTDA;SUPERMERCADO STECCA;JACUTINGA;47;ATIVO;SEX;555
3253;PAULO CESAR COSTA;SUPERMERCADO ESTRELA;JACUTINGA;48;ATIVO;QUA;554
3263;SUPERMERCADO PADUA LTDA;SUP PADUA;BUENO BRANDAO;46;ATIVO;SEG;250
3272;ANGELA DE C SILVEIRA DA ROSA;STAR LANCHES;BUENO BRANDAO;46;ATIVO;SEG;250
3276;PAES E DOCES MAURIAM LTDA;PADARIA CENTRAL;BUENO BRANDAO;46;ATIVO;SEG;251
3315;HILTON LUIS MATTOS E CIA LTDA ME;ETHEWALDO;OURO FINO;45;ATIVO;TER;702
3319;ARMANDO RIBEIRO DE ALMEIDA;PADARIA PAO DE ACUCA;OURO FINO;45;ATIVO;QUA;703
3338;MARIA J DE PADUA E CIA LTDA;MINI MERCADO CENTRAL;OURO FINO;45;ATIVO;SEG;701
3345;JOSE ROBERTO DE PALMA;MINI MERCE N SRA DE FATIMA;OURO FINO;45;ATIVO;QUI;704
3350;MINIMERCADO E PANETERIA INCONFRIOS LTDA;MINI E PANETERIA INCONFRIOS;INCONFIDENTES;46;ATIVO;TER;451
3363;ZENITA KLEHM;RESTAURANTE DO ALEMA;OURO FINO;45;ATIVO;QUA;703
3409;CLUBE DE CAMPO LEAO DA FRONTEIRA;CB DE CAMPO LEAO DA FRONTEIRA;JACUTINGA;48;ATIVO;SEG;551
3431;JOSE LUCIO DE ALMEIDA PAPELARIA;JOSE LUCIO DE ALMEI PAPELARIA;CAMBUI;33;ATIVO;TER;102
3440;ANA MARIA DE GODOI;MERCEARIA MATEUS;MUNHOZ;13;ATIVO;TER;651
3488;ANTONIO DONIZET FELICIANO;PADARIA DO TONINHO;BORDA DA MATA;35;ATIVO;QUA;801
3491;PAULO FAVILA;REST PIZZARIA DOM P;OURO FINO;45;ATIVO;QUA;703
3492;ZHU HONGLIAN;PASTELARIA LIAN;CAMBUI;33;ATIVO;TER;102
3514;MINI BOX FRANCO LTDA;FRANCO;SENADOR AMARAL;13;ATIVO;QUI;751
3595;SONIA APARECIDA DO CARMO E SILVA DE MIRA;PADARIA E CAFETERIA TIO DOCA;INCONFIDENTES;46;ATIVO;TER;451
3760;CARLOS SERGIO DA SILVA;CARLINHOS FUNCIONARIO;CAMBUI;10;ATIVO;SEG;2
3826;SUPERMERCADO 5 IRMAOS LTDA;SUPERMERCADO 5 IRMAOS;CAMBUI;14;ATIVO;TER;105
3832;FERREIRA & ALMEIDA LTDA;BAR BRASILIA;OURO FINO;45;ATIVO;QUA;703
3901;LANCHONETE E MERCEARIA DONA LIA LTDA;LANCHONETE E MER DONA LIA;CAMBUI;33;ATIVO;QUI;103
3927;K  S LANCHONETE LTDA;SABOR & CIA;CAMBUI;33;ATIVO;QUI;103
4024;CASA DE PAES TRIGO BOM LTDA;CASA DE PAES TRIGO BOM;ITAPEVA;42;ATIVO;TER;501
4091;SIDNEY RODRIGUES;PADARIA MANTIQUEIRA;ITAPEVA;42;ATIVO;TER;501
4099;WANUIR PEREIRA DA SILVA ME;PADARIA DO BOSQUE;CAMANDUCAIA;42;ATIVO;QUA;302
4101;JAIRO LUIZ MOREIRA;PESQUEIRO DO JAIRINH;BORDA DA MATA;46;ATIVO;QUI;202
4108;PEDRO LUIS DA SILVA;CASA SAO PEDRO;EXTREMA;40;ATIVO;SEX;309
4109;NEREU CANDIDO DOS SANTOS ME;NEREU CANDIDO DOS SANTOS ME;CAMANDUCAIA;42;ATIVO;QUI;301
4113;SUPERMERCADO E ACOUGUE KR CENTER LTDA;SUPERMER E ACOUGUE KR CENTER;BOM REPOUSO;13;ATIVO;SEG;151
4121;HEBER DIAS DOS REIS;MERCEARIA REIS;EXTREMA;40;ATIVO;SEG;409
4122;JOSE TADEU DE SOUZA;MINI MERCADO SOUZA & SILVA;BOM REPOUSO;13;ATIVO;SEG;151
4125;MANOEL BARBOSA DA SILVA;MANOEL BARBOSA DA SILVA;BOM REPOUSO;13;ATIVO;SEG;151
4129;ANTONIO CARLOS MOREIRA ME;ANTONIO CARLOS MOREIRA ME;OURO FINO;45;ATIVO;SEG;701
4136;ANTONIO BATISTA DA SILVA ME;BAR DO TONHO;CAMBUI;33;ATIVO;TER;102
4145;JOAO REGINALDO ROSA ME;JOAO REGINALDO ROSA;TOCOS DO MOJI;35;ATIVO;QUA;801
4187;MARIA LUCIA GROSSI LABEGALINI & CIA LTDA;SUPERMERCADO UNIAO;JACUTINGA;48;ATIVO;QUA;553
4231;CLEBER MESSIAS DA SILVA;CLEBER FUNCIONARIO;CAMBUI;10;ATIVO;SEG;2
4235;PADARIA NS APARECIDA CAMBUI LTDA;PADARIA N. SRA. APARECIDA;CAMBUI;33;ATIVO;TER;102
4265;JANE BAIAO CAETANO ME;CASA LACAETANO;SENADOR AMARAL;13;ATIVO;QUI;502
4280;LAZARO DE LIMA;LAZARO DE LIMA;OURO FINO;45;ATIVO;QUI;704
4320;JANAINA CHEFFER DOS REIS & CIA LTDA;PADARIA SAO GERALDO;INCONFIDENTES;46;ATIVO;TER;451
4376;ADEMAR FRANCISCO ALVES;BOMBONIERIE GAROTO;CAMBUI;33;ATIVO;QUI;103
4391;MARIA IVONE FERNANDES;SUPERMERCADO PROLAR;ITAPEVA;42;ATIVO;TER;501
4428;HOTEL POUSADA MIRANTE DA COLYNA LTDA.;HOTEL POUS. MIRANTE DA COLYNA;CAMANDUCAIA;14;ATIVO;SEG;305
4467;CASA DE CARNES SERRINHA LTDA;COMERCIAL SERRINHA;BUENO BRANDAO;46;ATIVO;SEG;251
4469;PAULO CESAR DOS SANTOS - CPF 693 476 466 87;SORV E LANCH VICTORIA ESTER;OURO FINO;45;ATIVO;TER;702
4471;AFONSO PEREIRA DE SOUZA E CIA LTDA;AFONSO PEREIRA DE SO;CAMBUI;33;ATIVO;SEG;101
4487;FABIANO FERREIRA DE PAULA;FABIANO FERREIRA DE PAULA;BORDA DA MATA;46;ATIVO;QUI;202
4495;SERGIO FRANCISCO BALDOINO ME;SUPERMERCADO BOA AMIZADE;JACUTINGA;46;ATIVO;QUA;554
4529;SUPERMERCADO CENTRAL SENADOR AMARAL LTDA;SUPERMERCADO CENTRAL;SENADOR AMARAL;13;ATIVO;QUI;751
4560;APARECIDO DONIZETE DOMINGOS;APARECIDO DONIZETE DOMINGOS;CAMANDUCAIA;14;ATIVO;SEG;305
4593;ROBSON ROBERTO DE LIMA ME;CASA DE CARNES COMPANIA DO BO;JACUTINGA;46;ATIVO;QUA;554
4598;PANIFDANIEL E ELISANGELA LTDA;PANIFDANIEL E ELISAN;ITAPEVA;42;ATIVO;TER;501
